review_title,hotel_name,avg_rating,nationality,rating,review_text,year,month,season,residence_type,trip_type,traveller_type,stay_length,label
Good,Hotel Koffieboontje,7.5,United Kingdom,7.5,There are no comments available for this review,2019,September,Autumn,double,leisure trip,couple,3,1
Disappointing,nhow Brussels Bloom,8.3,Luxembourg,4.6,There are no comments available for this review,2019,November,Autumn,double,leisure trip,couple,1,0
Very good,The Plaza Hotel Antwerp,8.4,United Kingdom,8.3,"Nice room ,

Very close to the Jewish Area",2020,February,Winter,double,leisure trip,solo traveller,2,1
Warmhearted place I will book again whenever I visit Leuven again (which will for sure happen),Lavan,9.0,Germany,9.0,"Nothing to complain!,

Nice and detailed set up of any rooms. Family owned. Warmhearted welcome. Owner really wants for you to have an excellent stay. Open for questions and easy to get information, drinks, etc. He / hey know there service businesses pretty well!",2020,July,Summer,double,business trip,solo traveller,1,1
Very good,Hotel Le Châtelain,8.9,Iceland,8.3,There are no comments available for this review,2019,May,Spring,double,business trip,people with friends,3,1
Suitable location for my stay and the staff were very helpful.   Breakfast was good and included.,Hotel Evergreen,6.5,United Kingdom,7.0,"Breakfast was very good - excellent coffee especially,",2019,October,Autumn,double,leisure trip,solo traveller,5,0
Good,Hygge Hotel,8.6,Italy,7.5,There are no comments available for this review,2019,July,Summer,twin,business trip,solo traveller,2,1
Exceptional,Aloft Brussels Schuman,8.8,Poland,9.6,There are no comments available for this review,2018,September,Autumn,twin,leisure trip,people with friends,2,1
Nice!,EuroCitadin,8.7,Belgium,8.0,"I realised too late that there was a room next to the kitchen, so I felt bad about not making less noise when I had my breakfast at 7 AM.,

Very clean and modern, nice neighbourhood",2020,March,Spring,single,leisure trip,solo traveller,1,1
Short visit to Bruges,Golden Tree Hotel,8.2,United Kingdom,6.3,"Very lumpy uncomfortable pillows, luckily we brought our own. Unable to turn off bathroom light. Music left on in courtyard garden all night and we had one of the rooms just off the courtyard so we were kept awake. My partner went to the reception area and used the telephone to call the manager who came back to turn off the music - apparently a 20 minute journey for him. Then the music gets turned on again at 8am waking us up! We were charged a fee for parking and also a city tax which we paid in cash when we checked in. We were then asked for this when we checked out. Luckily they have cameras so I told them to check them as proof that I had paid the fee! There is a horrible drain like smell in the foyer which is covered up (partly) by a really strong air freshener. ,

Rooms were very clean and made up each day. Parking area was secure. Breakfast was good and there was a coffee machine available for use at any time, along with a vending machine for snacks and essentials.",2019,February,Winter,double,leisure trip,couple,2,0
Exceptional,Pillows Grand Boutique Hotel Place Rouppe Brussels,9.0,Taiwan,9.6,There are no comments available for this review,2019,February,Winter,other,leisure trip,solo traveller,1,1
"Great hotel, friendly staff everything was very clea. Main attractions within walking distance.",Hygge Hotel,8.6,Netherlands,9.6,"Great hotel, friendly staff, everything was very clean. Main attractions within walking distance. Would stay again.",2019,August,Summer,twin,business trip,solo traveller,1,1
very good as a,Hotel Ter Elst,8.3,Denmark,8.0,I could use a towel warmer in the bathroom,2020,February,Winter,double,business trip,solo traveller,2,1
"Very nice, would like to come back with my family",Park Inn By Radisson Hasselt,8.5,Brazil,8.3,"Option of room without carpet, for people with allergy is not so great, but it looked very clean, for me with a little medication, was fine to stay, not great, but ok.,

The breakfast is fantastic, plenty of options for all tastes. The hotel is really nice, excellent location, close to train station 10 min walk, close to everything, market, pharmacy, shops, restaurants. Great experience.",2019,August,Summer,other,leisure trip,solo traveller,3,1
Superb,Holiday Home 't Beertje,9.4,United Kingdom,9.0,There are no comments available for this review,2019,October,Autumn,house,leisure trip,group,1,1
Exceptional,Best Western Plus Park Hotel Brussels,8.1,Greece,10.0,"Small bed in the single room,

Friendly and kind staff. Perfectly located very close to metro station.",2019,July,Summer,single,business trip,solo traveller,4,1
Exceptional,Hotel Monsieur Ernest,8.6,Malaysia,10.0,Second time staying here and brings back find memories and will definately stay here again :),2019,October,Autumn,double,leisure trip,couple,2,1
"Bed/mattress need To be change as soon as possible , just a hole in het , not confi at all",Century Hotel Antwerpen Centrum,6.9,Netherlands,5.8,"Bed / mattress and could be cleaner the bathroom ,

Location and view great",2020,February,Winter,twin,business trip,solo traveller,1,0
Very good,Hotel Boterhuis,8.8,United Kingdom,8.3,There are no comments available for this review,2018,December,Winter,quadruple,leisure trip,group,1,1
Good,Jam Hotel,8.0,United Kingdom,7.5,The decor was very different which I liked,2019,March,Spring,double,leisure trip,group,1,1
Best Host in Minsk,MinskLux Apartments,9.1,Austria,10.0,"Apartment is very clean and much space. Directly at the sea and quite area even tho you are very close to the city. Andrei is by far the best host here in Minsk, great gut and very friendly!",2021,May,Spring,apartment,leisure trip,couple,6,1
The say was great!,Motel One Brussels,8.9,United Kingdom,8.8,"I felt like the room was not a true representation of what I had been lead to believe on booking.com,

The decor and the lobby made the hotel feel like a luxurious one. It was super clean and the staff were very friendly. the location of the hotel was just a short walk from the city centre and was next to a great convenience store and lots of restaurants",2019,March,Spring,other,leisure trip,couple,2,1
Good,ATW Apartments,7.8,Netherlands,7.9,"All though the host didn´t speak English, he tried his best to make us understand him and was very friendly upon arrival. The appartment was very good, certainly for what we paid. Awesome location, yes there was a strip club next to the apartment but we didn´t really experience any inconvience from it, except a bit from the music at night.Good apartment to enjoy a city trip in Antwerpen for a small budget!",2019,October,Autumn,apartment,leisure trip,group,2,1
cosy small duplex close to EU Commission,Apartments Berlaymont OHY,9.2,Italy,10.0,"the service is excellent. If I have to say something, probably some biscuits for breakfast might make the staying even more pleasant.,

comfy small duplex just behind the Berlaymont (EU Commission). Smart do-it-yourself check-in so you can arrive whenever you like. Coffee and tea included.",2020,January,Winter,apartment,business trip,solo traveller,1,1
Good,Smartflats Design - Antwerp Central,7.1,Australia,7.0,"All good,

It was good",2019,December,Winter,apartment,business trip,couple,1,0
"Not a great value for money, cant be judged good for other than location.",Novotel Brussels City Centre,8.5,United Arab Emirates,5.0,Location,2019,November,Autumn,double,business trip,solo traveller,1,0
Exceptional,Motel One Brussels,8.9,Belgium,10.0,There are no comments available for this review,2019,December,Winter,double,leisure trip,solo traveller,1,1
Exceptional,Hotel Brouwerij Het Anker,8.6,United Kingdom,10.0,There are no comments available for this review,2020,July,Summer,double,business trip,group,4,1
Exceptional,Rocco Forte Hotel Amigo,9.1,Switzerland,10.0,"Very friendly staff 
+ everything else very good",2019,August,Summer,double,leisure trip,couple,4,1
Exceptional,B&B Anna's,9.4,United Kingdom,10.0,"N/A!,

Anne was extremely friendly and welcoming; she even bought my wife a cake on her birthday! The location was perfect- walking distance to the centre and the property was always clean and “home-y”
Would definitely come back!",2019,May,Spring,double,leisure trip,couple,4,1
Exceptional,Hotel Villa Select,8.9,Belgium,9.6,Fantastic breakfast with large choice of things to eat. Restaurant at night was very good.,2019,October,Autumn,family_room,leisure trip,group,2,1
Very good,Hotel Imperial,7.2,United Kingdom,8.3,There are no comments available for this review,2018,November,Autumn,twin,leisure trip,couple,3,1
It was lovely apart from the challenges mentioned above,Thon Hotel Brussels City Centre,8.3,Zambia,7.5,"Next time offer complementary rates considering that am a regular customer at Thon. The rooms have been supplied  with compressors which are suitable for making coffee and not when one wants to make tea. Consider providing a kettle in each room.,

It near alot of shopping malls which is just a walking distance from the hotel. In addition, the breakfast is excellent with rooms that are spacious. The flexibility of extending checking out hours was highly appreciated during last trip",2018,November,Autumn,twin,business trip,solo traveller,4,1
Very good,C-Hotels Cocoon,8.8,Belgium,8.0,There are no comments available for this review,2021,February,Winter,double,leisure trip,couple,1,1
Superb,NH Brussels EU Berlaymont,8.5,Spain,9.2,"The location for my purposes, the premises, the breakfast offer, and above all the excellent service in terms of both attitude and efficiency of the reception staff (Mrs. Laura). Congrats and thanks a lot!",2019,January,Winter,single,business trip,solo traveller,1,1
Exceptional,Hostel Bruegel,8.4,Ireland,10.0,There are no comments available for this review,2020,February,Winter,dormitory,leisure trip,solo traveller,1,1
Superb,Hotel Dolce La Hulpe Brussels,8.4,Belgium,9.0,There are no comments available for this review,2021,March,Spring,other,leisure trip,couple,1,1
Exceptional,B&B Maris Logies,9.4,Netherlands,9.5,There are no comments available for this review,2018,November,Autumn,double,business trip,solo traveller,2,1
Exceptional,Hotel Bourgoensch Hof,8.4,Australia,9.6,The location was fantastic and it was comfortable,2019,November,Autumn,other,leisure trip,couple,2,1
Exceptional,Century Hotel Antwerpen Centrum,6.9,United Kingdom,10.0,"We had to try three key cards to get into our room on the seventh floor before we were given another room with a key card that worked in the door.,

Great location for the station and jewellery shops",2018,November,Autumn,double,leisure trip,couple,1,1
Passable,Jam Hotel,8.0,Kenya,5.4,"Facilities ,

Nothing",2019,May,Spring,double,business trip,solo traveller,3,0
Superb,Alpha Hotel,6.6,Belgium,9.0,There are no comments available for this review,2021,February,Winter,double,leisure trip,couple,1,1
Exceptional,Hotel Bourgoensch Hof,8.4,United Kingdom,10.0,"Great location, super helpful and friendly staff",2019,December,Winter,other,leisure trip,couple,2,1
Very good,The Memlinc,7.6,Belgium,8.0,"Ligging is perfect. Hotel zelf is wat verouderd, eten was heel lekker !",2021,March,Spring,twin,leisure trip,couple,1,1
Exceptional,Guesthouse Orchid,8.8,China,10.0,I like the mattress and towels very much.,2019,September,Autumn,double,leisure trip,solo traveller,1,1
Fabulous,The Plaza Hotel Antwerp,8.4,Netherlands,8.8,There are no comments available for this review,2019,March,Spring,double,leisure trip,couple,1,1
Exceptional,Château Charles,9.7,Belgium,10.0,There are no comments available for this review,2019,June,Summer,double,leisure trip,pet,1,1
Exceptional,Hotel Monsieur Ernest,8.6,Germany,10.0,There are no comments available for this review,2018,August,Summer,double,leisure trip,couple,3,1
Prefect spot to stay.,Novotel Gent Centrum,8.4,United Kingdom,9.6,"Only small complaint was the pillows on the bed, one very flat, one very high, just needed something more in the middle ground.,

Location is perfect for everything you want to see and do in Ghent, the staff were brilliant as well.",2020,January,Winter,double,leisure trip,couple,2,1
Great stay experience,Guesthouse Bxlroom,9.0,Jordan,8.8,"The room temperature is acceptable but not very warm ,

The Room is very comfortable , it has everything you need , calmness , coziness , cleanliness and very neat. The host was amazingly helpful .
Highly recommended",2020,February,Winter,double,leisure trip,people with friends,3,1
A lovely cottage,Le Cerf volant,9.5,Belgium,9.0,"Unfortunately it was raining most of the weekend, but this made the cottage an even nicer place to retreat.,

A lovely little cottage, which is actually surprisingly large for two people. The host Evelyn lives next doors and gave us a warm welcome in the cottage. The interior of the cottage also reflects the hospitality of the host, with nice decorations, a well equipped kitchen, and several extra things for a relaxing day (from hiking maps, DVDs, and books to a blanket for on the sofa).",2019,October,Autumn,house,leisure trip,couple,2,1
Very unique relaxing place,B&B N°5,9.5,United Kingdom,9.6,"Our stay was too short ,

Room size, bathroom and little touches they add to make you feel special, the breakfast is a Downton Abbey feel.",2018,August,Summer,double,leisure trip,group,1,1
Surprisingly good,Van Der Valk Hotel Brugge Oostkamp,8.7,United Kingdom,9.6,"I was in transit to a business meeting in the Netherlands. It was extremely conveniently placed, a few metres from the Autoroute, with no traffic noise, in the room. The restaurant was excellent.So good that I stayed in another Van Der Valk hotel, the following evening.",2019,June,Summer,double,business trip,solo traveller,1,1
Superb,Rocco Forte Hotel Amigo,9.1,Finland,9.2,Gym too small,2020,February,Winter,double,business trip,solo traveller,1,1
Great Hotel for exploring Centre of Ghent,Novotel Gent Centrum,8.4,United Kingdom,8.0,"There was a lovely small pool - a bonus in the centre of Gent when it was so hot. Unfortunately people not staying in the hotel seemed to be wandering in and using it despite the notice on the open gate saying it was for hotel guests only. So it was really too crowded for us to use.,

We were pleasantly surprised by how quiet our room was as we stayed during the Gent Festival.With the windows closed and the air conditioning on, we slept well.",2018,August,Summer,double,leisure trip,couple,4,1
Exceptional,Motel One Brussels,8.9,United Kingdom,9.6,"No kettle, but I'm scraping the barrel for that! ,

Comfy bed, good shower, quiet room",2018,October,Autumn,other,leisure trip,couple,1,1
Exceptional,Van Der Valk Hotel Brugge Oostkamp,8.7,United Kingdom,9.6,There are no comments available for this review,2019,July,Summer,double,business trip,group,1,1
Best 4-star hotel in Brussels,NH Brussels EU Berlaymont,8.5,Czech Republic,10.0,"Superb value for money, and one of the nicest/fun hotel staff I've ever met. :) Special kudos to the reception manager (sadly didn't ask for his name). Keep up the good stuff!",2018,August,Summer,double,business trip,solo traveller,1,1
Superb,Chez Mimi - chambre vue parc,8.5,Germany,9.0,There are no comments available for this review,2020,January,Winter,single,business trip,solo traveller,1,1
Cozy and comfortable place to stay!,Le Cabri Ô Lait,9.5,Sweden,10.0,"Difficult to close some of the blinds on the roof windows,

Great place to stay. The apartment is brand new, it is very cozy and comfortable. The location (at a farm) is original and hosts are very nice and friendly. Nice walk to the city center. The fresh milk and the local beers in the apartment were a very nice gesture.",2020,August,Summer,suite,business trip,group,1,1
"Elegant boutique hotel with friendly staff, beautiful rooms and an excellent breakfast",Hotel Jan Brito - Small Elegant Hotels,8.5,Germany,9.0,"one morning we were woken up by a loud loud lorry that was parked in front of the hotel, but the hotel is not to blame for that slight disturbance,

Very well located boutique hotel for a city trip, excellent breakfast, we had a very spacious suite with an elegant and very comfortable decor, one of the best hotel mattresses I have slept on for a very long time, the hotel had a nice bar with a good selection of drinks and we rented bikes at the hotel which were perfect for a tour around and through the inner city, beautiful garden to relax in",2020,June,Summer,suite,leisure trip,couple,2,1
Fabulous,Golden Tree Hotel,8.2,New Zealand,8.8,"Shower took 10 minutes to receive hot water value for money,

Comfortable property, good location at reasonable cost",2019,June,Summer,double,leisure trip,couple,2,1
already second time in the same hotel. will come again.,ibis Gent Centrum St. Baafs Kathedraal,8.2,North Macedonia,8.3,"room to small for a twin room.,

Location is great. Own garage.",2019,January,Winter,twin,business trip,group,1,1
Fabulous,Hostel Bruegel,8.4,Poland,8.8,There are no comments available for this review,2020,February,Winter,double,leisure trip,people with friends,4,1
Traveling through France and Belgium,Apartments Breydelhof,8.7,United Kingdom,8.0,The location of the apartment was perfect. We had a lot of rain so it was nice to be able to pop back from town to warm up. We loved the lighting and the quirkiness..even the stairs to the bedroom which demand a bit of concentration :-),2020,March,Spring,studio,leisure trip,couple,2,1
Love Motel One Brussels 💕,Motel One Brussels,8.9,United Kingdom,10.0,"Nothing ,

The hotel looked fabulous & everything seemed to have been done to a high spec. The bar area was lovely to sit in & enjoy a glass of bubbles!",2019,June,Summer,double,leisure trip,people with friends,2,1
Pleasant,Ibis Brussels Erasmus,7.8,Netherlands,6.7,There are no comments available for this review,2019,February,Winter,double,business trip,solo traveller,2,0
Superb,Jam Hotel,8.0,United States,9.2,There are no comments available for this review,2019,July,Summer,double,leisure trip,couple,1,1
Exceptional,Hotel Les Eleveurs,9.2,United States,9.6,There are no comments available for this review,2019,September,Autumn,double,leisure trip,couple,1,1
Fabulous,Hotel Bourgoensch Hof,8.4,United Kingdom,8.8,"The hotel was fine we were only there for two nights 
So no real mod cons but the building is old an beautiful with great views so makes up for lack of facilities it has two interesting neighbours on one side a sex shop on the other a torture museum so caused much amusement ,

Old and interesting",2019,October,Autumn,other,leisure trip,couple,2,1
Fabulous,Hostel Bruegel,8.4,Hungary,8.8,"elevator
clean room
good breakfast",2019,September,Autumn,dormitory,leisure trip,solo traveller,2,1
Exceptional,Hotel Bourgoensch Hof,8.4,United Kingdom,9.6,Fantastic view and a great location,2019,December,Winter,other,leisure trip,couple,3,1
Would return when we next find ourselves in Brussels.,Art de Sejour - B&B,9.8,United States,10.0,Breakfast was excellent and the host accommodated our departure time by making breakfast early.,2019,April,Spring,other,leisure trip,couple,1,1
The food in the restaurant was very good. Hotel totally outdated and needs a lot of renovation.,Hotel Lommel Broek,7.6,Belgium,2.0,"The hotel is outdated and severaL refreshments are needed in the rooms. Never updated furniture and the painting was like 25 years old. The bathroom was from the years 70, totally outdated. The staff was very cold and not friendly at all.,

The food in the restaurant was very good.",2020,September,Autumn,double,leisure trip,couple,1,0
Best hotel in Durbury,Hotel La Caleche,8.9,Luxembourg,10.0,I stay at Hotel la Caleche almost every month for work/personal reasons. I wouldn't stay anywhere else in Durbury. It has everything I need at a great price. Highly recommended!,2019,September,Autumn,double,business trip,solo traveller,1,1
"Good value, well located for Eurostar. Would stay again.",Hotel Mirabeau,7.0,United Kingdom,7.9,"Ventilation. Room was a bit smelly. Lift was small.,

Convenient and inexpensive. Staff friendly. Simple french breakfast - convenient.",2018,November,Autumn,double,business trip,solo traveller,1,1
Exceptional,Liège Center Sakura,8.9,Belgium,9.6,Super location and very friendly staff..,2018,October,Autumn,double,leisure trip,couple,1,1
Fabulous,NH Brussels EU Berlaymont,8.5,Czech Republic,8.8,"The reception is excruciatingly slow, the room equipment can be a bit older-looking, the elevator not working properly.,

When booked on good price, this hotel is almost unbeatable when going to the Institutions. Breakfast is probably the best around.",2019,May,Spring,double,business trip,group,1,1
Superb,Designflats Gent,9.8,United Kingdom,9.0,There are no comments available for this review,2020,March,Spring,suite,leisure trip,couple,7,1
"1st time here, will return",Aparthotel Adagio Access Bruxelles Europe Aparthotel,8.7,Germany,9.2,"1st time in this place and very positively surprised. Good offers on food and refreshments in the lobby, very friendly service. Location close to Parlament, quiet room and very affordable in comparison.",2018,November,Autumn,studio,business trip,solo traveller,1,1
Superb,Aris Grand Place Hotel,8.3,Brazil,9.0,There are no comments available for this review,2020,February,Winter,other,leisure trip,couple,4,1
Good,ibis budget Antwerpen Port,7.3,United Kingdom,7.1,"Quiet & clean as expected, good for parking",2018,December,Winter,triple,business trip,people with friends,1,1
We did enjoy our stay,Hotel Royal,9.0,United Kingdom,10.0,"To have a rug mat in the bathroom .,

“Lovely location with convenient street parking.  Excellent Breakfast . Staff very friendly ” English speaking was a bonus.We will strongly recommend .We will be staying there again.”",2019,May,Spring,double,leisure trip,couple,1,1
Overpriced low service hotel - well located,Hotel Banks,8.1,Germany,4.6,"Overprized
Junior Suite is a Standard room with a table and 2 chairs? 
Breakfast is cheap
Payment upfront
Cheap interior
,

Location, bed",2020,February,Winter,suite,leisure trip,couple,2,0
Very good,Smartflats Design - Antwerp Central,7.1,Malta,8.3,There are no comments available for this review,2018,December,Winter,apartment,leisure trip,group,3,1
"Perfect for short stays, interior and detailing is so nice, overall very interesting.",Van der Valk Hotel Brussels Airport,8.1,Serbia,9.6,"The location is awesome if you're just there for a layover, but to go to the center, you need about 10min to go to the nearest (Diegem) train station. But I wouldn't say that this is a major point.,

Superbox single rooms! They're equipped with PS4s and a VR headset in every room, with cool preinstalled games.There are also BT speakers in every room.On every Superbox rooms floor there is a free-of-charge minibar!The breakfast is excellent, variety of things to choose from.Free airport shuttle with the nicest driver.",2018,December,Winter,other,leisure trip,solo traveller,2,1
Fabulous,Warwick Brussels - Grand Place,8.2,United Kingdom,8.8,"Nothing ,

So close to the city centre and such a good hotel!",2019,August,Summer,other,leisure trip,couple,2,1
Perfect little haven of luxury,B&B De Bornedrager,9.5,United Kingdom,10.0,"Nothing could have been better.,

The decor was utter luxury whilst also being homely & comfortable. The breakfast was so lovely that I - a non breakfast eater, even on holiday - stuffed my greedy little face! How could I not, when presented with such an array of goodies; a fruit bowl including pieces of kiwi & passionfruit, yoghurt & granola, scrambled eggs, toast, waffles, danish pasties, a cheeseboard, cold cuts of meat, little bars of chocolate, cereals, tea, fresh coffee, fruit juice and bread rolls. We were offered a glass of champagne but unfortunately I was too hungover to consider it. I can not recommend this lovely hotel highly enough.",2020,January,Winter,suite,leisure trip,couple,1,1
"Good location, helpful staff, bedroom and quality of beds were not good",Hotel 't Putje,8.0,United Kingdom,6.3,"One of the lights were out in our room, there was a bad smell from the drains in the bathroom. The bed was very uncomfortable and made it hard to sleep,

Staff were very helpful in regards to places to eat and places to see",2019,April,Spring,double,leisure trip,couple,2,0
"Beautiful luxury ánd cosy appartment, exceeded by far all expectations",Charta Appartement,9.9,Australia,10.0,"The appartment had everything I needed, and more!The kitchen was neatly designed with all tools and appliances to cook a meal for yourself (but their are plenty of nice restaurants in the neighbourhood aswell...)The luxury design in an old house gives the appartment a nice cosy feeling.And the bathroom is a real eye catcher! Again beautifully designed, a very peaceful atmosphere.A pity I could stay for only 1 night, but next time when I'm in Belgium, this is definitly where I will stay!Thanks Marjan for the wonderful, warm hospitality!!",2020,January,Winter,apartment,business trip,solo traveller,1,1
"Nice stay, but something went wrong...",Vakantielogies Cathedral,8.3,Italy,7.1,"- during our stay there was no hot water!- steep and narrow stairs,

- good position near the centre- cozy and nice room- very big room",2018,September,Autumn,double,leisure trip,group,1,1
Pretty Good,Snuffel Hostel,8.8,United Kingdom,10.0,"At night could get loud and sleeping was tricky if you wanted to sleep with your window open because the cigarette smoke would travel up to your room from the smoking area outside. They provide ear plugs but theres nothing you can do about a smoky room at night.,

Very spacious and clean. Friendly staff, great social evening atmosphere. The breakfast was adequate and substantial. Hiring towels was very affordable and the location was a lovely walk away from the centre with out it being too central and close to the traffic.",2019,November,Autumn,dormitory,leisure trip,group,2,1
Good,Martin's Relais,8.6,Australia,7.5,The hotel could do with a good paint. While it is nice to stay in historic buildings they do need to be maintained.,2018,September,Autumn,double,leisure trip,couple,3,1
Superb,Camping Houtum,8.0,Denmark,9.0,There are no comments available for this review,2020,March,Spring,bungalow,business trip,group,2,1
Great choice!,B&B Belgica,9.7,Australia,10.0,"Streets are narrow in the old town. There is plenty of parking but one needs to drive with care to the parking under the building. But that's only on arrival, we would always choose this BnB.,

Great location, five minute walk to van eyck square. Facilities are immaculate. The hostess went out of her way to orientate us to Bruges and suggest an exploration route, even walking with us along to  a main Street. Superb breakfast. We would always stay here in future.",2018,September,Autumn,double,leisure trip,couple,2,1
Superb,B&B Ter Vesten,9.0,Singapore,9.2,There are no comments available for this review,2019,March,Spring,double,leisure trip,solo traveller,2,1
Very recommended,Ilot Sacre Apartments,8.6,Slovakia,10.0,"Wonderful location in the heart of the Brussels city centre. The host was very helpful and responsive. I would recommend this apartment house to any solo, business or leisure travelers.",2020,December,Winter,studio,business trip,solo traveller,6,1
Superb,Value Stay Brussels Expo Hotel,7.4,Germany,9.0,"Only a handful of parking slots , but you can find many free parking places in the surrounding streets.,

The room was very cozy and quiet .
Tv , refrigerator , safe for keeping personal belongings .
In the lounge downstairs you could eat snacks or drink a coffee.",2021,March,Spring,twin,leisure trip,solo traveller,1,1
"A good place to stay, basic but friendly and clean",ibis budget Antwerpen Port,7.3,United Kingdom,8.0,Basic but good value,2020,January,Winter,twin,business trip,solo traveller,2,1
Very good,Le bordon,9.2,Belgium,8.0,Excellent location and very friendly hosts!,2021,March,Spring,double,leisure trip,couple,2,1
"Excellent couple of days, enjoyed the walks, visiting the castle and learning about the history",The Charm,9.0,Belgium,9.0,Easy walking distance to everything we wanted to do in Bouillon. Host very welcoming and available to answer questions. Also agreed to an earlier check in.  Very clean and well equipped.,2021,March,Spring,house,leisure trip,group,2,1
Comfortable and friendly place with many facilities.,Jacques Brel Youth Hostel,8.0,Poland,8.0,"The walls in the room on the fourth floor need fumigation.,

I really enjoyed breakfast. It was much more than I expected. I also liked the bar in the hostel - the drinks were in reasonable prices and the atmosphere was friendly.",2020,February,Winter,triple,leisure trip,group,1,1
Exceptional,Motel One Brussels,8.9,United Kingdom,9.6,"No coffee/tea facilities in the room,

24hr bar, staff were really nice, great location.",2018,October,Autumn,other,leisure trip,people with friends,2,1
Good,B&B Montenakerhof,8.8,Belgium,7.9,There are no comments available for this review,2018,November,Autumn,double,leisure trip,couple,2,1
Superb,Apartment Chez Esmara et Philippe,8.8,Portugal,9.0,"A very clean and cosy apartment, located in the heart of Brussels. Very good hospitality aswell. Great experience.",2020,March,Spring,studio,leisure trip,group,2,1
Disappointing,Flandria Hotel,7.6,Belgium,4.6,Online I selected a double bed but we got 2 single beds pushed together with separate matresses.,2019,January,Winter,double,leisure trip,couple,1,0
Superb,Hotel Bourgoensch Hof,8.4,United Kingdom,9.0,There are no comments available for this review,2020,January,Winter,other,leisure trip,couple,2,1
Very good,B&B Hildegarden,9.4,Bahrain,8.3,Convenient.,2019,August,Summer,triple,business trip,solo traveller,5,1
Exceptional,Suite & City Apartments,8.9,United Kingdom,10.0,"Nothing ,

Excellent location",2018,September,Autumn,apartment,leisure trip,people with friends,2,1
Fabulous,Afspanning De Kroon,8.4,United Arab Emirates,8.8,There are no comments available for this review,2020,February,Winter,double,leisure trip,couple,3,1
Super locatie,Terhills Hotel,8.5,Belgium,8.8,"Find a better closing system for the shower. When I took a 5 minute shower, half of the bathroom was flooded. ,

It gives you the feeling of a state mansion. The history connected to the mining site and its buildings are very well conserved. The rooms are clean and comfortable.",2019,September,Autumn,double,leisure trip,couple,1,1
Superb,Le Relais du Randonneur 1,8.5,Finland,9.0,There are no comments available for this review,2020,November,Autumn,house,leisure trip,group,3,1
Great hotel! I recommend it for sure!,Hotel De Fierlant,8.2,Cyprus,10.0,"Very friendly and kind staff, clean room as shown on images, clean room! Value for money! Great location and peaceful neighborhood! I stayed there for three nights and I have a great time!",2019,June,Summer,single,business trip,solo traveller,3,1
Nice hotel,Motel One Brussels,8.9,Turkey,7.9,"A bit far away from city center. You need walk uphill for 15-20 mins to get back to the hotel. But it’s close to Brussel Central Station. Air conditioning was not functioning because they say that the thermostat degree should be set on 22-23 degrees but it was really cold and reception could not help. Luckly we only stayed there 1 night.,

Room was really clean and comfortable. Close to Brussel Central Station.",2019,November,Autumn,other,leisure trip,couple,1,1
The owner of the hotel is very considerate! The room is very clean and comfortable! Very recommended,Anna Penthouse,8.7,Taiwan,10.0,There are no comments available for this review,2019,September,Autumn,apartment,business trip,group,1,1
Superb,Hotel Dolce La Hulpe Brussels,8.4,Belgium,9.0,It’s location in the middle of the forest!,2020,August,Summer,other,leisure trip,solo traveller,2,1
Would definitely recommend to other people,Motel One Brussels,8.9,Israel,10.0,The whole feel of the hotel. Its people and facilities. Its position in Brussels,2018,August,Summer,double,business trip,group,2,1
Very good,Jam Hotel,8.0,United States,8.3,There are no comments available for this review,2018,November,Autumn,double,business trip,solo traveller,2,1
Lovely staff and stunning canal side view,Hotel Bourgoensch Hof,8.4,United Kingdom,8.0,Loved the traditional yet modern vibe to the hotel,2020,August,Summer,other,leisure trip,couple,1,1
Brussels global warming is comming,Hygge Hotel,8.6,Romania,7.1,"There is a big problem, because the hotel does not have air conditioning and if you are going in summer, end of June and beginning of July, you will receive only a portable fan which is insufficient. So for this price and a little extra pay I could have stayed in a 4 star hotel with AC. It is sad because the hotel was recently renovated and they should have taken this aspect into account.,

Good location just 20 minutes walk to all major landmarks. Good array of shops near the hotel. Clean room, they changed the towels on a daily basis. Good breakfast although they tend to close it at 10 sharp.",2019,July,Summer,double,business trip,couple,5,1
nice surprize for what i paid,Hotel Europe,7.2,United Kingdom,8.0,both breakfast and location was great,2019,November,Autumn,double,business trip,solo traveller,1,1
Exceptional,De Zon B&B,9.5,Netherlands,10.0,"A large spacious apartment, delightful owners. A pleasure.",2020,November,Autumn,family_room,business trip,solo traveller,2,1
Good,Antwerp For Two B&B,8.5,Netherlands,7.0,There are no comments available for this review,2020,January,Winter,double,business trip,solo traveller,2,0
Disappointing,ibis Gent Centrum St. Baafs Kathedraal,8.2,United Kingdom,4.0,"See above,

The parking used to be included in this hote , it’s not now they want €26 a day which is a  disgrace. Alternate parking is half a mile away. Also hotel looking tired",2019,December,Winter,double,leisure trip,couple,2,0
Exceptional,Hotel Made In Louise,9.2,Luxembourg,10.0,There are no comments available for this review,2020,September,Autumn,double,leisure trip,solo traveller,2,1
I have stayed many time here and I have always been very satisfied.,Apartments Berlaymont OHY,9.2,Netherlands,10.0,"Without problems.,

Excellent as usually. But what especially liked was the perfectly clean water kettle - free of any lime deposits. I also appreciate the additional heater in the bathroom to keep it warm enough in the winter months...",2020,January,Winter,apartment,business trip,solo traveller,2,1
